Availability,Residence Type,Price(in Crores),Area(sq.ft),Price per sq.ft (₹),Construction Status,Locality,City
3 BHK,Apartment,0.894,1633,5474,Under Construction,Horamavu,Bangalore
3 BHK,Apartment,0.827,1500,5512,Under Construction,Horamavu,Bangalore
3 BHK,Apartment,0.892,1630,5474,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,0.713,1275,5595,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,0.719,1287,5590,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,0.719,1286,5591,Under Construction,Horamavu,Bangalore
3 BHK,Apartment,0.816,1478,5519,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,0.683,1214,5623,Under Construction,Horamavu,Bangalore
3 BHK,Apartment,0.775,1398,5546,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,0.683,1214,5623,Under Construction,Horamavu,Bangalore
2 BHK,Apartment,0.452,1160,3900,Ready to move,Sarjapur,Bangalore
2 BHK,Apartment,0.454,1165,3900,Ready to move,Sarjapur,Bangalore
2 BHK,Apartment,0.421,1080,3900,Ready to move,Sarjapur,Bangalore
1 BHK,Apartment,0.308,790,3900,Ready to move,Sarjapur,Bangalore
1 BHK,Apartment,0.269,690,3900,Ready to move,Sarjapur,Bangalore
3 BHK,Apartment,0.55,1410,3900,Ready to move,Sarjapur,Bangalore
1 BHK,Apartment,0.281,720,3900,Ready to move,Sarjapur,Bangalore
2 BHK,Apartment,0.423,1085,3900,Ready to move,Sarjapur,Bangalore
2 BHK,Apartment,0.448,1150,3900,Ready to move,Sarjapur,Bangalore
2 BHK,Apartment,0.413,1060,3900,Ready to move,Sarjapur,Bangalore
1 BHK,Apartment,0.292,750,3900,Ready to move,Sarjapur,Bangalore
2 BHK,Apartment,0.396,1015,3900,Ready to move,Sarjapur,Bangalore
3 BHK,Apartment,0.544,1395,3900,Ready to move,Sarjapur,Bangalore
3 BHK,Apartment,2.054,1999,10276,Under Construction,Gottigere,Bangalore
3 BHK,Apartment,2.031,1976,10280,Under Construction,Gottigere,Bangalore
3 BHK,Apartment,1.417,1769,8008,Under Construction,Kogilu,Bangalore
3 BHK,Apartment,1.998,1942,10286,Under Construction,Gottigere,Bangalore
2 BHK,Apartment,1.012,1239,8165,Under Construction,Kogilu,Bangalore
3 BHK,Apartment,1.966,1910,10291,Under Construction,Gottigere,Bangalore
